AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,time_rel,time_gap,jerk_x,jerk_y,jerk_z,lateral_qforce,speed_variance,label
0.75819385,-0.2177906,0.45726347,0.0,0.0,0.0,AGGRESSIVE,818922,0.0,0.0,0.0,0.0,0.0,0.788854016676205,0.0,1
2.7244492,-7.5841208,2.390926,0.023823744,0.01366811,-0.038026363,AGGRESSIVE,818923,0.001,1.0,19.6625535,-73.663302,19.336625299999998,8.058629644820096,28.08026462302104,1
0.6675599,-0.03861046,0.23141575,-0.054367006,-0.0077121737,0.22525656,AGGRESSIVE,818923,0.001,0.0,-20.568893,75.4551034,-21.5951025,0.6686755474140067,19.244203963623026,1
2.8472152,-6.7556214,2.22464,-0.03176499,-0.03520111,0.035277467,AGGRESSIVE,818924,0.002,1.0,21.796553,-67.1701094,19.9322425,7.331101888205414,17.49391462556189,1
2.33095,-7.6217537,2.5290236,0.05681047,-0.18058704,-0.05207626,AGGRESSIVE,818924,0.002,0.0,-5.162651999999999,-8.661323000000003,3.0438359999999998,7.9702231691442424,16.22552785927415,1
0.44222856,-1.6468334,0.06529236,-0.01038471,-0.024205536,0.0010690142,AGGRESSIVE,818925,0.003,1.0,-18.8872144,59.749203,-24.6373124,1.7051763388679875,15.025857001823463,1
0.2383908,0.029413342,0.33282852,0.0012217305,-0.015042556,0.023060163,AGGRESSIVE,818925,0.003,0.0,-2.0383775999999996,16.76246742,2.6753616000000005,0.24019849752287997,15.059979085135573,1
0.0434494,0.22891134,0.35466862,0.070249505,0.050320026,0.07742717,AGGRESSIVE,818926,0.004,1.0,-1.9494140000000002,1.9949799799999999,0.21840099999999973,0.2329983947175508,14.527866421120738,1
-0.095363855,-0.027441323,-0.039779663,0.040927973,-0.010155635,0.1366811,AGGRESSIVE,818926,0.004,0.0,-1.38813255,-2.5635266299999997,-3.94448283,0.09923351776719071,14.047277667908697,1
0.27051997,-0.07373035,0.0030345917,0.0036651916,-0.0077121737,0.2576324,AGGRESSIVE,818927,0.005,1.0,3.65883825,-0.46289026999999994,0.428142547,0.28038762219456725,13.332165686129175,1
0.5129715,0.1584896,0.2572117,0.040927973,-0.005879578,0.33215797,AGGRESSIVE,818927,0.005,0.0,2.4245153000000004,2.3221995,2.541771083,0.5368973022100316,12.480842625584618,1
0.3643882,0.23400217,-0.8731127,0.09040806,0.052763484,0.41218132,AGGRESSIVE,818928,0.006,1.0,-1.4858330000000004,0.7551257,-11.303244,0.433054010331216,11.590970797536336,1
0.030257344,0.041704893,0.77029896,0.06291912,-0.022983804,0.19837849,AGGRESSIVE,818929,0.007,1.0,-3.34130856,-1.92297277,16.4341166,0.05152479952484808,10.867014536470121,1
-0.9127637,-0.3456328,0.83376026,0.0580322,-0.02603813,0.3669773,AGGRESSIVE,818929,0.007,0.0,-9.43021044,-3.8733769300000005,0.6346130000000005,0.9760120923807911,10.121570442310107,1
-0.5736394,1.895479,0.25301552,0.002443461,0.019165898,0.00045814895,AGGRESSIVE,818930,0.008,1.0,3.3912429999999993,22.411118000000002,-5.807447400000001,1.9803794587586894,9.405961252587947,1
-0.31680942,2.2246227,1.0167103,-0.04337143,0.07047858,0.09636399,AGGRESSIVE,818930,0.008,0.0,2.5682998,3.2914369999999993,7.6369478,2.2470679486735654,8.780492837607277,1
0.009707689,-2.3025599,-1.537632,-0.03176499,-0.10667235,-0.06734789,AGGRESSIVE,818931,0.009,1.0,3.2651710900000004,-45.271826,-25.543423,2.3025803639208187,8.243741000125379,1
-0.28935122,-0.04953766,-1.1415176,-0.04153884,-0.048640147,-0.06429356,AGGRESSIVE,818931,0.009,0.0,-2.9905890900000003,22.5302224,3.961144000000001,0.29356108099297495,7.834154316608904,1
0.32079172,0.3934636,0.31927872,-0.02443461,-0.0016035213,-0.059406646,AGGRESSIVE,818932,0.01,1.0,6.101429400000001,4.4300126,14.6079632,0.5076622224920014,7.547253169164132,1
0.102754354,2.4496293,-0.08904934,0.019547688,0.00022907447,-0.08628472,AGGRESSIVE,818932,0.01,0.0,-2.18037366,20.561656999999997,-4.0832806,2.4517834661087927,7.153494911208452,1
0.57089114,0.9929113,0.02962017,0.02687807,-0.029703323,0.035888333,AGGRESSIVE,818933,0.011,1.0,4.68136786,-14.567179999999997,1.1866951000000001,1.145333813086032,6.849080441555263,1
-0.27107072,0.3166343,-0.23188591,-0.0,0.023441954,0.0096211275,AGGRESSIVE,818933,0.011,0.0,-8.4196186,-6.76277,-2.6150607999999997,0.4168172443383411,6.650607441455804,1
-0.3893243,-0.072393,0.15493965,0.009162978,-0.0046578473,0.02611449,AGGRESSIVE,818934,0.012,1.0,-1.1825358000000001,-3.8902729999999996,3.8682556000000003,0.39599767299756955,6.46689512281541,1
-0.29090226,-0.60320604,-0.59682846,0.04642576,-0.025427265,0.018784106,AGGRESSIVE,818934,0.012,0.0,0.9842203999999999,-5.3081304,-7.5176811,0.669687726903808,6.236869535711391,1
-0.18269825,0.5305991,0.08667374,-0.027488936,-0.025427265,-0.04841107,AGGRESSIVE,818935,0.013,1.0,1.0820401000000002,11.3380514,6.8350219999999995,0.5611720373235577,6.05439051234816,1
0.87477255,-0.18502605,-0.07058811,-0.004276057,0.07231117,-0.04841107,AGGRESSIVE,818936,0.014,1.0,10.574708,-7.1562515,-1.5726185,0.8941261954624218,5.851157716840711,1
